Data,Negozio,Prodotto,Quantità,Prezzo_unitario
2023-09-01,Milano,Smartphone,12,481.99
2023-09-01,Roma,TV,12,701.83
2023-09-02,Bologna,Laptop,10,888.66
2023-09-02,Milano,Laptop,4,861.41
2023-09-03,Bologna,Smartphone,9,475.9
2023-09-03,Bologna,Console,4,544.54
2023-09-04,Napoli,Smartphone,3,515.84
2023-09-04,Napoli,Cuffie,3,85.89
2023-09-05,Napoli,Laptop,2,882.61
2023-09-05,Napoli,Monitor,10,250.11
2023-09-06,Milano,Fotocamera,9,639.09
2023-09-06,Torino,Laptop,9,870.12
2023-09-07,Bologna,Monitor,10,247.1
2023-09-07,Milano,Smartphone,11,478.22
2023-09-08,Napoli,Laptop,4,952.67
2023-09-08,Torino,Cuffie,8,91.94
2023-09-09,Napoli,TV,6,732.14
2023-09-09,Napoli,Laptop,10,919.33
2023-09-10,Bologna,Tablet,3,347.79
2023-09-10,Napoli,Tablet,11,340.06
2023-09-11,Milano,Tablet,1,366.98
2023-09-11,Torino,Cuffie,2,85.83
2023-09-12,Bologna,Monitor,4,266.36
2023-09-12,Torino,Fotocamera,3,654.32
2023-09-13,Roma,Cuffie,12,91.21
2023-09-13,Bologna,Console,6,524.35
2023-09-14,Roma,Fotocamera,2,707.73
2023-09-14,Milano,TV,11,708.73
2023-09-15,Torino,Laptop,7,882.86
2023-09-15,Torino,Cuffie,9,95.18
2023-09-16,Milano,Laptop,11,955.3
2023-09-16,Napoli,Monitor,2,251.31
2023-09-17,Roma,Fotocamera,1,729.27
2023-09-17,Napoli,TV,9,798.98
2023-09-18,Napoli,Tablet,3,342.84
2023-09-18,Roma,Smartphone,10,485.92
2023-09-19,Milano,Laptop,6,954.43
2023-09-19,Napoli,Tablet,1,335.39
2023-09-20,Bologna,Laptop,2,933.29
2023-09-20,Milano,TV,3,768.66
2023-09-21,Bologna,TV,5,752.82
2023-09-21,Bologna,Console,4,586.68
2023-09-22,Roma,Cuffie,7,97.12
2023-09-22,Napoli,Fotocamera,9,674.62
2023-09-23,Roma,Tablet,2,340.84
2023-09-23,Bologna,Tablet,10,334.24
2023-09-24,Milano,Smartphone,4,465.38
2023-09-24,Milano,Monitor,2,260.49
2023-09-25,Napoli,Fotocamera,4,684.17
2023-09-25,Bologna,Fotocamera,4,710.86
2023-09-26,Torino,Tablet,2,327.33
2023-09-26,Torino,Monitor,7,256.2
2023-09-27,Milano,Laptop,1,885.88
2023-09-27,Napoli,Laptop,4,855.49
2023-09-28,Bologna,Fotocamera,3,671.4
2023-09-28,Napoli,Fotocamera,4,720.64
2023-09-29,Milano,Fotocamera,9,636.16
2023-09-29,Bologna,Smartphone,2,534.1
2023-09-30,Roma,TV,7,747.78
2023-09-30,Roma,Console,1,519.54
